Position,Const,Created,Modified,Description,Name,Known For,Birth Date
300,nm0001657,2024-01-08,2024-01-08,"13085 points","Oliver Reed","Gladiator","13 февраля 1938 г."
301,nm2348627,2024-01-08,2024-01-08,"13013 points","Lucas Hedges","Manchester by the Sea","12 декабря 1996 г."
302,nm0001254,2024-01-08,2024-01-08,"13005 points","James Gandolfini","The Sopranos","18 сентября 1961 г."
303,nm0525518,2024-01-08,2024-01-08,"12935 points","Florian Lukas","Good Bye Lenin!","16 марта 1973 г."
304,nm0000377,2024-01-08,2024-01-08,"12777 points","Richard Dreyfuss","The Goodbye Girl","29 октября 1947 г."
305,nm0671567,2024-01-08,2024-01-08,"12767 points","Michael Peña","American Hustle","13 января 1976 г."
306,nm0836343,2024-01-08,2024-01-08,"12757 points","Jim Sturgess","21","16 мая 1978 г."
307,nm0001029,2024-01-08,2024-01-08,"12706 points","Jim Caviezel","The Passion of the Christ","26 сентября 1968 г."
308,nm0000101,2024-01-08,2024-01-08,"12681 points","Dan Aykroyd","Ghostbusters","1 июля 1952 г."
309,nm0912001,2024-01-08,2024-01-08,"12615 points","Jack Warden","...And Justice for All","18 сентября 1920 г."
310,nm0000122,2024-01-08,2024-01-08,"12476 points","Charles Chaplin","The Great Dictator","16 апреля 1889 г."
311,nm0922035,2024-01-08,2024-07-03,"12445 points","Dominic West","The Wire","15 октября 1969 г."
312,nm0933940,2024-01-08,2024-01-08,"12418 points","Patrick Wilson","The Phantom of the Opera","3 июля 1973 г."
313,nm0000367,2024-01-08,2024-01-08,"12371 points","Gérard Depardieu","Cyrano de Bergerac","27 декабря 1948 г."
314,nm1475594,2024-01-08,2024-01-08,"12284 points","Channing Tatum","21 Jump Street","26 апреля 1980 г."
315,nm0068260,2024-01-08,2024-01-08,"12240 points","Jamie Bell","Billy Elliot","14 марта 1986 г."
316,nm0085312,2024-01-08,2024-01-08,"12233 points","Jack Black","School of Rock","28 августа 1969 г."
317,nm0000905,2024-01-08,2024-01-08,"12223 points","Roberto Benigni","La vita è bella","27 октября 1952 г."
318,nm0000620,2024-01-08,2024-01-08,"12159 points","Mickey Rourke","Sin City","16 сентября 1952 г."
319,nm0195439,2024-01-08,2024-01-08,"12154 points","James D'Arcy","Cloud Atlas","24 августа 1975 г."
320,nm0000598,2024-01-08,2024-03-08,"12034 points","Dennis Quaid","Far from Heaven","9 апреля 1954 г."
321,nm0000369,2024-01-08,2024-04-25,"12001 points","Matt Dillon","There's Something About Mary","18 февраля 1964 г."
322,nm0000532,2024-01-08,2024-01-08,"11989 points","Malcolm McDowell","A Clockwork Orange","13 июня 1943 г."
323,nm0000048,2024-01-08,2024-01-08,"11962 points","Peter Lorre","M - Eine Stadt sucht einen Mörder","26 июня 1904 г."
324,nm0001449,2024-01-08,2024-05-12,"11887 points","Frank Langella","Frost/Nixon","1 января 1938 г."
325,nm0000090,2024-01-08,2024-01-08,"11849 points","Armin Mueller-Stahl","Eastern Promises","17 декабря 1930 г."
326,nm0001772,2024-06-04,2024-06-04,"11786 points","Patrick Stewart","Logan","13 июля 1940 г."
327,nm0001727,2024-01-08,2024-01-08,"11697 points","Robert Shaw","Jaws","9 августа 1927 г."
328,nm0593775,2024-01-08,2024-01-08,"11627 points","Thomas Mitchell","Stagecoach","11 июля 1892 г."
329,nm0947338,2024-01-08,2024-06-16,"11559 points","Anton Yelchin","Star Trek","11 марта 1989 г."
330,nm0040472,2024-01-08,2024-01-08,"11420 points","William Atherton","Die Hard","30 июля"
